JAN,商品名,Type,BodyAxis,SweetAxis
4935919071673,ドラゴン　レセルバ,Red,1.4190885936166104,-1.190566272588376
4935919071758,オノロ　ベラ,Red,5.492557123430646,0.5068520465292045
4935919071802,パルデバジェス　ティント　プリエト　ピクード,Red,1.3705472894269604,-1.2033212608884525
4935919071819,ガバルダ　ウノ,Red,2.85247891801674,0.2610854644882489
4935919072052,ラ フラウタ デ バルトロ ティント,Red,4.277539910296727,-0.17488567543528882
4935919072069,ラ　フラウタ　デ　バルトロ　ブランコ,White,-2.3023899227721145,-0.1331819244191025
4935919072076,オノロ　ベラ　ルエダ,White,-5.375630170496601,-2.061706831435936
4935919072083,ガバルダ　シャルドネ,White,-1.9742812029639294,-0.626795716632599
4935919072304,オノロ　ベラ　フミーリャ　モナストレル,Red,1.8798811391679915,-1.9607757958165422
4935919072311,オノロ　ベラ　オーガニック,Red,2.982839622343256,-1.4146657122067303
4935919072472,オノロ　ベラ　リオハ,Red,-2.746580320819938,-2.7059900156783367
4935919072571,ゴタ　デ　アレーナ,Red,-2.426956377206239,-3.1977306194451542
4935919072663,エル　フィスゴン　ルエダ　ベルデホ,White,-4.207862851605797,-1.702938343174197
4935919072670,シゲ　アル　コネホ　ブランコ　マカベオ,White,-2.537132214626141,0.3957122488510761
4935919072687,エル　ニーニョ　イ　ラ　ルナ　ブランコ,White,-3.0333889430932564,-0.5544840121423018
4935919072694,シゲ　アル　コネホ　ブランコ　ガルナッチャ,Red,3.596842412316155,-0.3770134578873013
4935919072700,エル　ニーニョ　イ　ラ　ルナ　ティント,Red,1.4943359269149699,-0.11587725283992135
4935919072830,ドラゴン　カバ　グラン　トラディション　ブルット,Spa,-2.7686787365001155,1.0562656365334713
4935919072847,エル　ネン　デル　セラー,Red,1.0736357570575823,-1.9086600071876927
4935919072854,エル　ビヒア　デ　ラ　アタラヤ　オーガニック,Red,11.211266395688812,6.773456611944428
4935919072946,コモロコ　オーガニック　SO2無添加,Red,5.360400223839285,-0.9010126909367958
4935919072977,シゲ　アル　コネホ　ブランコ　ブルット,Spa,3.0987318990703345,6.119179797168141
4935919073011,メディオディア　ロサド,Rose,-0.9292833345147442,-0.36168376391467755
4935919073028,マナデーロ　コレクシオン　デ　パルセラス,Red,1.4805214061422154,-1.636694687119241
4935919073035,ラ　ヴァディーナ,Red,-0.6554180748858042,-0.6958664251978703
4935919073042,オノロ　ベラ　ロサド,Rose,-3.1398078605767727,-0.7870161422956277
4935919073059,カステロ　アフルタード　テンプラニーリョ,Red,3.344266301844072,-0.08207812922632896
4935919080118,カベルネ　ソーヴィニヨン　グラン　レセルバ,Red,2.742220594764172,-0.8166913947323148
4935919080163,ラ　ミシオン　デ　ピルケ　シャルドネ　レセルバ,White,-3.5591489498253397,-1.2081714298203845
4935919080200,エスピノ　カベルネ　ソーヴィニヨン,Red,3.6830425560663587,-1.603488610531902
4935919080293,ソーヴィニヨン　ブラン　レセルバ,White,-1.5100387920331708,1.0516217569321682
4935919080316,サンジョヴェーゼ　レセルバ,Red,3.611936958160976,1.9842053977851004
4935919080354,ラ　ミシオン　デ　ピルケ　カベルネ　ソーヴィニヨン　レセルバ,Red,-0.1411557623425262,-1.4381251282509746
4935919080378,ヴィオニエ　レセルバ,White,-0.03352028294691608,1.3908673761579906
4935919080385,メルロ　レセルバ,Red,5.714349105044554,0.08456841873361641
4935919080392,シャルドネ　レセルバ,White,-3.6509544998371264,-0.2420051146729761
4935919080415,エスピノ シャルドネ,White,-3.31511804403112,-0.9339852796826771
4935919080446,ペドロ　ヒメネス　レセルバ,White,-3.394150230779433,-1.4310708323742043
