jan_code,wine_type,temp_name,umap_x,umap_y,cluster
4935919072083,White,ガバルダ　シャルドネ,0.72427875,9.856536,14
4935919059558 ,Red,パッソ　デル　カルディナーレ　プリミティーヴォ　ディ　マンドゥーリア,4.8649163,5.627389,19
4964044045440 ,Spa,ナチュラルオーガニックワイン　ロゼスパークリング,0.041545343,7.048522,8
4524919310709 ,White,シャンモリ　山梨県産葡萄使用　甲州,0.26463658,9.032126,5
850755000028 ,White,オー・ボン・クリマ　シャルドネ　サンタ バーバラ カウンティー,0.3330371,8.910696,5
4935919080415 ,White,エスピノ シャルドネ,0.3679086,8.521497,5
4901777301702 ,White,ダークホース シャルドネ,0.9913287,9.913589,14
850832004260 ,White,ブレッド＆バター　シャルドネ,1.0582072,10.01663,14
4964044046324 ,Rose,基準のワイン,4.744835,7.667319,12
3185370805701 ,Spa,モエ・エ・シャンドン ロゼ アンペリアル,-1.0316925,8.19398,10
8008530097943 ,Spa,タヴェルネッロ オルガニコ スプマンテ ロザート,-1.3193766,7.9731226,10
8410744014553 ,Spa,マルケス　デ　レケーナ　カヴァ　ブリュット,-1.263888,8.17136,10
4901777425736 ,Spa,フレシネ コルドン ロゼ ,-1.2968197,8.172819,10
4901777425859 ,Spa,フレシネ カルタ ネバダ,-1.6224285,8.005172,20
4901777425620 ,Spa,フレシネ コルドン ネグロ,-1.246715,8.333359,10
4901777428096 ,Spa,メゾン　アンジュエール　エクストラ　ドライ,-1.1055589,7.863088,10
4901777428102 ,Spa,メゾン　アンジュエール　ドミ・セック,-1.70457,7.839998,20
8008920687082 ,Spa,ボッリチーノ フリッツァンテ ビアンコ,-1.3861711,7.9585886,10
8008920687099 ,Spa,ボッリチーノ　フリッツァンテ　ロッソ,-1.6972184,7.9566164,20
4901880212957 ,White,ブルゴーニュ アリゴテ,-0.8872208,8.507977,10
4902650046338 ,White,ミシオネス　レセルバ　シャルドネ,0.14309314,8.215354,16
4901777429994 ,White,カステル バロン ド レスタック ボルドー オーガニック 白,0.0034742884,8.082507,16
3186127818104 ,White,スクレ　ド　リュネス　シャルドネ,0.03073667,8.141696,16
4580506791856 ,White,バルーン ピノ グリージョ オーガニック,-0.18645738,7.9733953,16
4901777429956 ,Red,カステル バロン ド レスタック ボルドー オーガニック 赤,3.6360395,5.7105703,13
4902650046352 ,Red,ミシオネス　レセルバ　カベルネ・ソーヴィニヨン,3.786267,5.688318,13
4935919055550 ,Red,スクインツァーノ　リゼルヴァ　ウイリエーザ,4.627277,5.5741944,19
4580506790231 ,Red,バルーン ネロ ダヴォラ オーガニック,4.271247,5.6968036,19
8007116011106 ,Red,レオナルド　キャンティ,4.316412,5.9721956,19
3186127818142 ,Red,スクレ　ド　リュネス　ピノ・ノワール,4.401533,5.927005,19
3666140029423 ,Rose,ザ ペール　シャトー デスクラン,0.47411954,8.446768,5
4973480349449 ,Spa,メルシャン 甘熟ぶどうのおいしいワイン スパークリング 赤,-1.6344465,7.859411,20
4973480349029 ,Spa,サニーサイドＯＧスパークリングロゼ,-1.465889,8.052393,10
9315705012007 ,White,グラント・バージ GB 32 シャルドネ,0.11946587,8.469439,5
9315705012403 ,Red,グラント・バージ GB 88 カベルネ・ソーヴィニヨン,3.5978842,5.724852,13
4901777425644 ,Spa,フレシネ コルドン ネグロ 中瓶,-1.2134978,8.283019,10
4962840966471 ,White,フローラ・ソーヴィニヨン・ブラン　オーガニック,0.09530112,7.127036,8
