JAN,Type,商品名,国,産地,葡萄品種,生産年,容量 ml,希望小売価格,UMAP1,UMAP2,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
4935919073028,Red,マナデーロ　コレクシオン　デ　パルセラス,スペイン,カリニェナ,ガルナッチャ,2018,750.0,2000.0,3.2327826,6.475112,4.546502598093283,-2.285644815170088,-0.37863572520742467,1.3843822319192962,2.593227854903625,-2.381158355117736,1.476721248237051,-1.0482487692245983
4935919073035,Red,ラ　ヴァディーナ,スペイン,カリニェナ,ガルナッチャ、カリニェナ,2020,750.0,1900.0,3.4003162,3.534687,-0.31401058822264327,-2.0745755002735304,-1.1295124555809872,-1.1925814135275898,-1.8356357351358095,5.085103387942082,-1.6082747362437526,-1.3922780500942487
4935919073042,Rose,オノロ　ベラ　ロサド,スペイン,フミーリャ,テンプラニーリョ、シラー,2023,750.0,1900.0,5.8056664,1.4506086,-5.90703680315534,-1.014563250204435,2.346643802398636,2.613102615678781,2.1770060672481177,-0.3889305940358366,0.7540577106019422,-1.379183556991379
4935919073059,Red,カステロ　アフルタード　テンプラニーリョ,スペイン,ルエダ,テンプラニーリョ,2023,750.0,1800.0,3.092605,6.4806914,6.069744155834716,1.2910295098395528,-0.26944924128824954,1.2304566880021408,4.8406150651276665,0.7779586346323811,-2.3339042729313735,-1.8877943902403278
4935919080118,Red,カベルネ　ソーヴィニヨン　グラン　レセルバ,チリ,マイポ　ヴァレー,カベルネ　ソーヴィニヨン、他,2021,750.0,1800.0,1.9933288,5.711239,6.007429877686453,-1.4567090004099004,3.7895913202060396,0.0440274771179501,-4.665927628082703,-0.9044063865170161,0.44561469533975334,-2.5656765089414475
4935919080163,White,ラ　ミシオン　デ　ピルケ　シャルドネ　レセルバ,チリ,マイポ　ヴァレー,シャルドネ,2023,750.0,1400.0,5.6426497,1.7680044,-5.675736971904661,-1.3179266831128602,1.1435116394565434,0.35249618686584433,1.375919818168435,0.8265685732497108,0.030044100352967645,-0.6507030116162305
4935919080200,Red,エスピノ　カベルネ　ソーヴィニヨン,チリ,マイポ　ヴァレー,カベルネ　ソーヴィニヨン、他,2020,750.0,2000.0,2.4843035,6.369168,8.47427930887938,-3.06333275778053,1.7428180429103781,0.8614721771142819,-0.4373165092988519,-3.8815356690660954,4.00271422990875,-0.5539601447351459
4935919080293,White,ソーヴィニヨン　ブラン　レセルバ,チリ,エルキ　ヴァレー,ソーヴィニヨン　ブラン,2022,750.0,1500.0,5.935088,1.1809359,-5.995339763907257,2.5703618776133363,5.4563336993945,7.611596811885183,6.71870588066414,-0.46791769293271,-0.5271080531613361,-0.15177204537211916
4935919080316,Red,サンジョヴェーゼ　レセルバ,チリ,エルキ　ヴァレー,サンジョヴェーゼ,2020,750.0,1600.0,3.4798782,5.70607,4.369036006799971,1.4325535482704503,-1.4073189013181957,7.470584964822792,0.6394286504217941,0.6624040911858423,0.9482107488700677,1.2043282889832907
4935919080354,Red,ラ　ミシオン　デ　ピルケ　カベルネ　ソーヴィニヨン　レセルバ,チリ,マイポ　ヴァレー,カベルネ　ソーヴィニヨン85％、カベルネ　フラン15％,2022,750.0,1400.0,3.4910984,3.9032664,1.6098665390088094,-2.965389662637545,-2.9384422001851576,-1.8945472740408928,-0.5436717283383786,-2.17387201915343,1.8922794488769936,1.4932606844181873
4935919080378,White,ヴィオニエ　レセルバ,チリ,エルキ　ヴァレー,ヴィオニエ,2022,750.0,1500.0,5.9305935,2.229914,-1.252044671468574,3.8472682596601904,10.67570907720696,2.362702933718364,-0.22578831040915923,-0.4440056006863876,-0.15466000754212814,3.2568501726395813
4935919080385,Red,メルロ　レセルバ,チリ,エルキ　ヴァレー,メルロ,2020,750.0,1600.0,2.693769,5.814531,10.76595077863989,-1.057710639556669,-0.37123558583673866,4.307400197365923,3.662400195769414,0.291295268515177,-3.128613232198701,-6.596480817307227
4935919080392,White,シャルドネ　レセルバ,チリ,エルキ　ヴァレー,シャルドネ,2023,750.0,1600.0,5.628112,1.5476513,-6.012896012564261,-0.20185946282105582,2.4234273249818457,0.15861958697764134,0.6388282810869664,0.5080300722080149,1.110728108404489,-1.5392142410524328
4935919080415,White,エスピノ シャルドネ,チリ,マイポ　ヴァレー,シャルドネ,2022,750.0,2100.0,6.117079,1.8193171,-4.935286800413186,-0.7611009749327265,1.7994317957144967,1.4751697444662157,0.40673120990302397,1.7514295074992545,0.8783749791584925,0.8574450340911131
4935919080446,White,ペドロ　ヒメネス　レセルバ,チリ,エルキ　ヴァレー,ペドロ　ヒメネス,2022,750.0,1400.0,5.953753,1.3365291,-4.3406839168176665,-1.1705102092369726,4.6234615039398905,0.6971470415288699,1.0211586100267713,-1.385433319185875,3.0350245636201265,-0.8314197374577237
4935919080644,Red,ピノ　ノワール　レセルバ,チリ,エルキ　ヴァレー,ピノ　ノワール,2020,750.0,1900.0,3.3031957,2.8664331,-1.7940660565969209,-5.502698649771579,-8.3775271494026,-4.130782449958838,0.7222496284695882,2.0468615936166557,-3.5430148871784906,6.799702493889689
4935919080668,Red,ドンナ　マリア　シラー　アパッシメント,チリ,エルキ　ヴァレー,シラー,2019,750.0,1900.0,2.563433,6.5254035,10.287295813520975,0.8604916463325404,1.1981076505905026,2.7653126596800215,2.026382665761068,-6.4735325497409155,2.7260467871211485,1.2222137185242303
4935919080903,White,シャルドネ　グラン　レセルバ,チリ,マイポ　ヴァレー,シャルドネ,2023,750.0,1700.0,5.8486686,1.13853,-5.686706681641575,0.7451442548746873,5.784430414940463,8.200939198263427,18.430921439993014,3.849466069425954,-4.098020710375534,2.778841117196474
4935919080910,Red,ピノ　ノワール　グラン　レセルバ,チリ,マイポ　ヴァレー,ピノ　ノワール,2022,750.0,1900.0,4.1814933,4.7654486,0.7815739554444444,-1.361726584159206,-1.5736214105424764,3.1929938804128755,0.8472095443948834,0.39268146090810085,0.7912958874232545,-1.5514443898189183
4935919080927,Red,メルロ　グラン　レセルバ,チリ,マイポ　ヴァレー,メルロ,2020,750.0,1800.0,2.6603737,6.1339374,6.262684744781652,-2.618258310743434,-0.9188965573970498,3.0218346532039018,-0.4175292391716947,-1.3199154815570249,2.77635296795037,-1.8264603299357594
4935919080965,White,ソーヴィニヨン　ブラン　グラン　レセルバ,チリ,マイポ　ヴァレー,ソーヴィニヨン　ブラン,2023,750.0,1800.0,5.7955327,1.0814683,-3.746203173078965,-0.6795826778971786,4.618441625184153,2.055522270603528,4.316364750128669,-2.136575076705502,1.689185049010831,-1.3985496408321874
4935919092364,Red,シャトー　デ　ゼサール　ルージュ,フランス,シュッド　ウェスト,メルロ７０％、カベルネ　フラン３０％,2020,750.0,1600.0,2.7421339,4.563382,4.622925158387347,-2.8906652536145785,-0.5360433231071471,-0.23844354850876592,-1.6395745763305802,0.44284419708438405,1.0958854277874985,0.30330833811424673
4935919094306,White,ミュスカデ　セーヴル　エ　メーヌ,フランス,ロワール,ムロン　ド　ブルゴーニュ,2023,750.0,2000.0,5.0598564,1.4176087,-5.969361761313846,0.11007218561530638,5.369615848606278,-1.5446312801291124,1.7788273204595817,-2.4829816214159472,1.6217169630418535,-2.2529562820110494
4935919095303,Rose,ドメーヌ デ オート ウーシュ ロゼ ダンジュ,フランス,ロワール,グロロー,2023,750.0,1700.0,4.8182955,3.5574565,-4.948597618967753,6.630462581419021,-4.018810868098055,-2.83422741102664,-0.6692716548873726,-4.02589415591578,2.713262623552021,1.9299808239025977
4935919098854,Red,エリタージュ,フランス,コート　デュ　ローヌ,グルナッシュ、シラー、その他,2021,750.0,1800.0,3.222864,3.9873805,-0.4104823836378206,-4.125260493409678,-2.385550704076422,-3.040393137200105,-0.3723156201762267,-0.01303475301454448,-0.3569507816835041,-0.806264110323999
4935919193559,White,ユルツィガー　ヴュルツガルテン　リースリング　ファインヘルプ,ドイツ,モーゼル,リースリング,2023,750.0,2000.0,4.760212,4.155326,0.7255962325732812,17.02288867603582,1.1887234245940794,-1.1725103662346885,-0.8228821920085476,-9.067225867306304,0.04460568652731791,1.7614736369449207
4935919194624,White,ヴァイスブルグンダー　ビショッフスクロイツ　トロッケン,ドイツ,ファルツ,ヴァイスブルグンダー,2022,750.0,2100.0,6.5199676,1.3398361,-7.365318801445467,3.234634725984584,-0.4047998945932883,3.859968347795354,-0.13950608603949632,-0.9461623187485729,1.5982703574580808,-1.2903176799553688
4935919197175,Red,レッド　ヴィンヤード　ドルンフェルダー,ドイツ,ファルツ,ドルンフェルダー,2022,750.0,2000.0,4.6041436,4.3292885,6.864837574191225,28.360742572795694,-9.14322133407957,-13.263886296109654,5.935084226448321,5.629769472488992,4.832782052301774,-4.167073427726871
4935919198448,White,ミュラー　トゥルガウ　フォン　レス,ドイツ,ラインヘッセン,ミュラー　トゥルガウ,2022,750.0,2000.0,5.338479,2.3925583,-8.621855240239867,6.121082916217913,-1.8701713639248956,1.2918240680983915,-11.650700648142966,-6.900853920591065,-12.741430653738618,-3.9603474098236506
4935919212762,Red,メッツオ　ベルジュラック　ルージュ,フランス,シュッド　ウェスト,メルロ８０％、カベルネ　フラン２０％,2021,750.0,1800.0,2.6050456,5.2630963,4.9676608592276805,-1.839442278746293,2.087987267552458,-0.6723011951777393,-1.1818302268228724,-1.873696844133693,1.538991553738325,0.7834746563647329
4935919212915,Red,コトー　デュ　ポン　デュ　ガール　キュヴェ　デ　ガレ,フランス,コート　デュ　ローヌ,グルナッシュ、その他,NV,750.0,1500.0,2.398949,4.381306,1.7590312803632653,-3.149127783353676,0.05079092131601786,-1.159783253111491,0.10413270679723864,-1.4763184737124435,1.1528106803138576,-0.6800032597818974
4935919213578,Red,ペイ　ドック　メルロ,フランス,ラングドック　ルション,メルロ,2021,750.0,1400.0,3.3763666,2.8548899,-3.092879024539443,-4.712878755502076,-6.935523150357417,-3.1122182800543943,0.059865141944839544,1.2086713215998295,-0.982707604386719,3.3902736526110164
